service_id,date,exception_type
1,20180101,1
64,20180101,1
96,20180101,1
100,20180101,1
105,20180101,1
2,20180102,1
65,20180102,1
97,20180102,1
101,20180102,1
106,20180102,1
2,20180103,1
65,20180103,1
97,20180103,1
101,20180103,1
106,20180103,1
2,20180104,1
66,20180104,1
97,20180104,1
101,20180104,1
106,20180104,1
3,20180105,1
67,20180105,1
98,20180105,1
102,20180105,1
107,20180105,1
4,20180106,1
68,20180106,1
96,20180106,1
100,20180106,1
108,20180106,1
5,20180107,1
69,20180107,1
96,20180107,1
100,20180107,1
105,20180107,1
6,20180108,1
65,20180108,1
97,20180108,1
101,20180108,1
109,20180108,1
6,20180109,1
65,20180109,1
97,20180109,1
101,20180109,1
109,20180109,1
6,20180110,1
65,20180110,1
97,20180110,1
101,20180110,1
109,20180110,1
6,20180111,1
65,20180111,1
97,20180111,1
101,20180111,1
109,20180111,1
7,20180112,1
67,20180112,1
98,20180112,1
102,20180112,1
110,20180112,1
4,20180113,1
68,20180113,1
99,20180113,1
100,20180113,1
108,20180113,1
5,20180114,1
70,20180114,1
96,20180114,1
100,20180114,1
105,20180114,1
6,20180115,1
65,20180115,1
97,20180115,1
101,20180115,1
109,20180115,1
6,20180116,1
65,20180116,1
97,20180116,1
101,20180116,1
109,20180116,1
6,20180117,1
71,20180117,1
97,20180117,1
101,20180117,1
109,20180117,1
6,20180118,1
65,20180118,1
97,20180118,1
101,20180118,1
109,20180118,1
7,20180119,1
67,20180119,1
98,20180119,1
102,20180119,1
110,20180119,1
4,20180120,1
72,20180120,1
99,20180120,1
100,20180120,1
108,20180120,1
5,20180121,1
73,20180121,1
96,20180121,1
100,20180121,1
105,20180121,1
6,20180122,1
65,20180122,1
97,20180122,1
101,20180122,1
109,20180122,1
6,20180123,1
65,20180123,1
97,20180123,1
101,20180123,1
109,20180123,1
6,20180124,1
65,20180124,1
97,20180124,1
101,20180124,1
109,20180124,1
6,20180125,1
65,20180125,1
97,20180125,1
101,20180125,1
109,20180125,1
7,20180126,1
67,20180126,1
98,20180126,1
102,20180126,1
110,20180126,1
4,20180127,1
74,20180127,1
99,20180127,1
100,20180127,1
108,20180127,1
5,20180128,1
73,20180128,1
96,20180128,1
100,20180128,1
105,20180128,1
6,20180129,1
65,20180129,1
97,20180129,1
101,20180129,1
109,20180129,1
6,20180130,1
65,20180130,1
97,20180130,1
101,20180130,1
109,20180130,1
6,20180131,1
65,20180131,1
97,20180131,1
101,20180131,1
109,20180131,1
6,20180201,1
65,20180201,1
97,20180201,1
101,20180201,1
109,20180201,1
7,20180202,1
67,20180202,1
98,20180202,1
102,20180202,1
110,20180202,1
4,20180203,1
74,20180203,1
99,20180203,1
100,20180203,1
108,20180203,1
5,20180204,1
75,20180204,1
96,20180204,1
100,20180204,1
105,20180204,1
6,20180205,1
65,20180205,1
97,20180205,1
101,20180205,1
109,20180205,1
6,20180206,1
65,20180206,1
97,20180206,1
101,20180206,1
109,20180206,1
6,20180207,1
65,20180207,1
97,20180207,1
101,20180207,1
109,20180207,1
6,20180208,1
65,20180208,1
97,20180208,1
101,20180208,1
109,20180208,1
7,20180209,1
67,20180209,1
98,20180209,1
102,20180209,1
110,20180209,1
4,20180210,1
74,20180210,1
99,20180210,1
100,20180210,1
108,20180210,1
5,20180211,1
73,20180211,1
96,20180211,1
100,20180211,1
105,20180211,1
6,20180212,1
65,20180212,1
97,20180212,1
101,20180212,1
109,20180212,1
6,20180213,1
65,20180213,1
97,20180213,1
101,20180213,1
109,20180213,1
6,20180214,1
65,20180214,1
97,20180214,1
101,20180214,1
109,20180214,1
6,20180215,1
65,20180215,1
97,20180215,1
101,20180215,1
109,20180215,1
7,20180216,1
67,20180216,1
98,20180216,1
102,20180216,1
110,20180216,1
4,20180217,1
74,20180217,1
99,20180217,1
100,20180217,1
108,20180217,1
5,20180218,1
70,20180218,1
96,20180218,1
100,20180218,1
105,20180218,1
6,20180219,1
65,20180219,1
97,20180219,1
101,20180219,1
109,20180219,1
6,20180220,1
65,20180220,1
97,20180220,1
101,20180220,1
109,20180220,1
6,20180221,1
65,20180221,1
97,20180221,1
101,20180221,1
109,20180221,1
6,20180222,1
65,20180222,1
97,20180222,1
101,20180222,1
109,20180222,1
7,20180223,1
67,20180223,1
98,20180223,1
102,20180223,1
110,20180223,1
4,20180224,1
74,20180224,1
99,20180224,1
100,20180224,1
108,20180224,1
5,20180225,1
76,20180225,1
96,20180225,1
100,20180225,1
105,20180225,1
6,20180226,1
77,20180226,1
97,20180226,1
101,20180226,1
109,20180226,1
6,20180227,1
78,20180227,1
97,20180227,1
101,20180227,1
109,20180227,1
6,20180228,1
77,20180228,1
97,20180228,1
101,20180228,1
109,20180228,1
6,20180301,1
77,20180301,1
97,20180301,1
101,20180301,1
109,20180301,1
7,20180302,1
67,20180302,1
98,20180302,1
102,20180302,1
110,20180302,1
4,20180303,1
74,20180303,1
99,20180303,1
100,20180303,1
108,20180303,1
5,20180304,1
73,20180304,1
96,20180304,1
100,20180304,1
105,20180304,1
6,20180305,1
65,20180305,1
97,20180305,1
101,20180305,1
109,20180305,1
6,20180306,1
65,20180306,1
97,20180306,1
101,20180306,1
109,20180306,1
6,20180307,1
65,20180307,1
97,20180307,1
101,20180307,1
109,20180307,1
8,20180308,1
79,20180308,1
97,20180308,1
101,20180308,1
109,20180308,1
7,20180309,1
67,20180309,1
98,20180309,1
102,20180309,1
110,20180309,1
4,20180310,1
74,20180310,1
99,20180310,1
100,20180310,1
108,20180310,1
9,20180311,1
80,20180311,1
96,20180311,1
100,20180311,1
105,20180311,1
6,20180312,1
65,20180312,1
97,20180312,1
101,20180312,1
109,20180312,1
6,20180313,1
65,20180313,1
97,20180313,1
101,20180313,1
109,20180313,1
6,20180314,1
65,20180314,1
97,20180314,1
101,20180314,1
109,20180314,1
6,20180315,1
65,20180315,1
97,20180315,1
101,20180315,1
109,20180315,1
7,20180316,1
67,20180316,1
98,20180316,1
102,20180316,1
110,20180316,1
4,20180317,1
74,20180317,1
99,20180317,1
100,20180317,1
108,20180317,1
5,20180318,1
73,20180318,1
96,20180318,1
100,20180318,1
105,20180318,1
6,20180319,1
65,20180319,1
97,20180319,1
101,20180319,1
109,20180319,1
6,20180320,1
65,20180320,1
97,20180320,1
101,20180320,1
109,20180320,1
6,20180321,1
65,20180321,1
97,20180321,1
101,20180321,1
109,20180321,1
6,20180322,1
65,20180322,1
97,20180322,1
101,20180322,1
109,20180322,1
7,20180323,1
67,20180323,1
98,20180323,1
102,20180323,1
110,20180323,1
4,20180324,1
74,20180324,1
99,20180324,1
103,20180324,1
108,20180324,1
5,20180325,1
73,20180325,1
96,20180325,1
103,20180325,1
105,20180325,1
2,20180326,1
65,20180326,1
97,20180326,1
103,20180326,1
106,20180326,1
2,20180327,1
65,20180327,1
97,20180327,1
103,20180327,1
106,20180327,1
2,20180328,1
65,20180328,1
97,20180328,1
103,20180328,1
106,20180328,1
3,20180329,1
67,20180329,1
97,20180329,1
103,20180329,1
107,20180329,1
4,20180330,1
74,20180330,1
96,20180330,1
103,20180330,1
108,20180330,1
4,20180331,1
74,20180331,1
99,20180331,1
103,20180331,1
108,20180331,1
4,20180401,1
81,20180401,1
96,20180401,1
103,20180401,1
108,20180401,1
5,20180402,1
73,20180402,1
96,20180402,1
103,20180402,1
105,20180402,1
6,20180403,1
65,20180403,1
97,20180403,1
104,20180403,1
109,20180403,1
6,20180404,1
65,20180404,1
97,20180404,1
104,20180404,1
109,20180404,1
6,20180405,1
65,20180405,1
97,20180405,1
104,20180405,1
109,20180405,1
10,20180406,1
67,20180406,1
98,20180406,1
104,20180406,1
110,20180406,1
11,20180407,1
74,20180407,1
99,20180407,1
103,20180407,1
108,20180407,1
12,20180408,1
73,20180408,1
96,20180408,1
103,20180408,1
105,20180408,1
6,20180409,1
65,20180409,1
97,20180409,1
104,20180409,1
109,20180409,1
6,20180410,1
65,20180410,1
97,20180410,1
104,20180410,1
109,20180410,1
6,20180411,1
65,20180411,1
97,20180411,1
104,20180411,1
109,20180411,1
6,20180412,1
65,20180412,1
97,20180412,1
104,20180412,1
109,20180412,1
7,20180413,1
67,20180413,1
98,20180413,1
104,20180413,1
110,20180413,1
4,20180414,1
82,20180414,1
99,20180414,1
103,20180414,1
108,20180414,1
13,20180415,1
83,20180415,1
96,20180415,1
103,20180415,1
105,20180415,1
6,20180416,1
84,20180416,1
97,20180416,1
104,20180416,1
109,20180416,1
6,20180417,1
84,20180417,1
97,20180417,1
104,20180417,1
109,20180417,1
6,20180418,1
84,20180418,1
97,20180418,1
104,20180418,1
109,20180418,1
6,20180419,1
84,20180419,1
97,20180419,1
104,20180419,1
109,20180419,1
7,20180420,1
67,20180420,1
98,20180420,1
104,20180420,1
110,20180420,1
4,20180421,1
74,20180421,1
99,20180421,1
103,20180421,1
108,20180421,1
5,20180422,1
73,20180422,1
96,20180422,1
103,20180422,1
105,20180422,1
6,20180423,1
65,20180423,1
97,20180423,1
104,20180423,1
109,20180423,1
6,20180424,1
65,20180424,1
97,20180424,1
104,20180424,1
109,20180424,1
6,20180425,1
85,20180425,1
97,20180425,1
104,20180425,1
109,20180425,1
6,20180426,1
85,20180426,1
97,20180426,1
104,20180426,1
109,20180426,1
7,20180427,1
86,20180427,1
98,20180427,1
103,20180427,1
110,20180427,1
4,20180428,1
87,20180428,1
99,20180428,1
103,20180428,1
108,20180428,1
5,20180429,1
73,20180429,1
96,20180429,1
103,20180429,1
105,20180429,1
7,20180430,1
86,20180430,1
97,20180430,1
103,20180430,1
110,20180430,1
5,20180501,1
73,20180501,1
96,20180501,1
103,20180501,1
105,20180501,1
6,20180502,1
85,20180502,1
97,20180502,1
104,20180502,1
109,20180502,1
6,20180503,1
85,20180503,1
97,20180503,1
104,20180503,1
109,20180503,1
7,20180504,1
86,20180504,1
98,20180504,1
104,20180504,1
110,20180504,1
14,20180505,1
88,20180505,1
99,20180505,1
103,20180505,1
111,20180505,1
5,20180506,1
89,20180506,1
96,20180506,1
103,20180506,1
112,20180506,1
6,20180507,1
85,20180507,1
97,20180507,1
104,20180507,1
109,20180507,1
6,20180508,1
85,20180508,1
97,20180508,1
104,20180508,1
109,20180508,1
6,20180509,1
85,20180509,1
97,20180509,1
104,20180509,1
109,20180509,1
6,20180510,1
85,20180510,1
97,20180510,1
104,20180510,1
109,20180510,1
7,20180511,1
90,20180511,1
96,20180511,1
104,20180511,1
110,20180511,1
4,20180512,1
88,20180512,1
99,20180512,1
103,20180512,1
108,20180512,1
5,20180513,1
91,20180513,1
96,20180513,1
103,20180513,1
105,20180513,1
6,20180514,1
85,20180514,1
97,20180514,1
104,20180514,1
109,20180514,1
6,20180515,1
85,20180515,1
97,20180515,1
104,20180515,1
109,20180515,1
15,20180516,1
85,20180516,1
97,20180516,1
104,20180516,1
109,20180516,1
15,20180517,1
85,20180517,1
97,20180517,1
104,20180517,1
109,20180517,1
16,20180518,1
86,20180518,1
98,20180518,1
104,20180518,1
110,20180518,1
4,20180519,1
88,20180519,1
99,20180519,1
103,20180519,1
108,20180519,1
17,20180520,1
92,20180520,1
96,20180520,1
103,20180520,1
108,20180520,1
18,20180521,1
85,20180521,1
97,20180521,1
103,20180521,1
113,20180521,1
15,20180522,1
85,20180522,1
97,20180522,1
104,20180522,1
109,20180522,1
15,20180523,1
85,20180523,1
97,20180523,1
104,20180523,1
109,20180523,1
15,20180524,1
85,20180524,1
97,20180524,1
104,20180524,1
109,20180524,1
16,20180525,1
86,20180525,1
98,20180525,1
104,20180525,1
110,20180525,1
4,20180526,1
88,20180526,1
99,20180526,1
103,20180526,1
108,20180526,1
5,20180527,1
89,20180527,1
96,20180527,1
103,20180527,1
105,20180527,1
15,20180528,1
85,20180528,1
97,20180528,1
104,20180528,1
109,20180528,1
15,20180529,1
85,20180529,1
97,20180529,1
104,20180529,1
109,20180529,1
15,20180530,1
85,20180530,1
97,20180530,1
104,20180530,1
109,20180530,1
15,20180531,1
85,20180531,1
97,20180531,1
104,20180531,1
109,20180531,1
16,20180601,1
86,20180601,1
98,20180601,1
104,20180601,1
110,20180601,1
19,20180602,1
88,20180602,1
99,20180602,1
103,20180602,1
108,20180602,1
5,20180603,1
89,20180603,1
