route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,ES,Pl. Catalunya - Sant Joan,2,http://www.fgc.cat/cat/barcelona-valles.asp,5A5858,FFFFFF
3,L6,Barcelona Pl. Catalunya - Sarrià,1,http://www.fgc.cat/cat/barcelona-valles.asp?linia=L6,797FBC,FFFFFF
4,L7,Barcelona Pl. Catalunya - Av Tibidabo,1,http://www.fgc.cat/cat/barcelona-valles.asp?linia=L7,B2600B,FFFFFF
5,L8,Barcelona Pl. Espanya - Molí Nou,1,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8,E274AA,FFFFFF
7,R5,Barcelona Pl. Espanya - Manresa,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5,3dbfc3,FFFFFF
8,R6,Barcelona Pl. Espanya - Igualada,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6,b3b3b3,FFFFFF
9,S1,Barcelona Pl. Catalunya - Terrassa Nacions Unides,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S1,EF7900,FFFFFF
10,S2,Barcelona Pl. Catalunya - Sabadell Parc del Nord,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2,88BB0B,FFFFFF
11,S3,Barcelona Pl. Espanya - Can Ros,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S33,4F868E,FFFFFF
12,S4,Barcelona Pl. Espanya - Olesa de Montserrat,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4,A78600,FFFFFF
13,S5,Barcelona Pl. Catalunya - Sant Cugat,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S5,5B8FCB,FFFFFF
14,S6,Barcelona Pl. Catalunya - U. Autónoma,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S55,E40046,FFFFFF
15,S8,Barcelona Pl. Espanya - Martorell Enllaç,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S8,49C0DE,FFFFFF
16,LP,Lleida - La Pobla,2,http://www.fgc.cat/cat/lleida-lapobla.asp,FF8000,FFFFFF
17,R60,Barcelona Pl. Espanya - Igualada,2,http://fgc.cat/cat/llobregat-anoia.asp?linia=R60,5b5b5b,FFFFFF
18,R50,Barcelona Pl. Espanya- Manresa,2,http://fgc.cat/cat/llobregat-anoia.asp?linia=R50,00738a,FFFFFF
43,L12,Sarrià - Reina Elisenda,1,http://fgc.cat/cat/barcelona-valles.asp?linia=L12,b2aed3,FFFFFF
46,S7,Barcelona Pl. Catalunya - Rubí,1,,9B2743,FFFFFF
47,S9,Barcelona Pl. Espanya - Quatre Camins,2,,DF4661,FFFFFF
49,MM,Cremallera Montserrat,7,,000000,FFFFFF
50,FV,Funicular de Vallvidrera,7,http://www.fgc.cat/cat/barcelona-valles.asp,0A57A3,FFFFFF
51,S7T,Barcelona Pl. Catalunya - Terrassa Nacions Unides,1,,9B2743,FFFFFF
52,S5S,Barcelona Pl. Catalunya - Sant Cugat,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S5,5B8FCB,FFFFFF
