route_id,service_id,trip_id,trip_headsign,shape_id
3,1,195757,Sarrià,100003
3,1,195758,Pl. Catalunya,200003
3,1,195759,Sarrià,100003
3,1,195760,Pl. Catalunya,200003
3,1,195761,Sarrià,100003
3,1,195762,Pl. Catalunya,200003
3,1,195763,Sarrià,100003
3,1,195764,Pl. Catalunya,200003
3,1,195765,Sarrià,100003
3,1,195766,Pl. Catalunya,200003
3,1,195767,Sarrià,100003
3,1,195768,Pl. Catalunya,200003
3,1,195769,Sarrià,100003
3,1,195770,Pl. Catalunya,200003
3,1,195771,Sarrià,100003
3,1,195772,Pl. Catalunya,200003
3,1,195773,Sarrià,100003
3,1,195774,Pl. Catalunya,200003
3,1,195775,Sarrià,100003
3,1,195776,Pl. Catalunya,200003
3,1,195777,Sarrià,100003
3,1,195778,Pl. Catalunya,200003
3,1,195779,Sarrià,100003
3,1,195780,Pl. Catalunya,200003
3,1,195781,Sarrià,100003
3,1,195782,Pl. Catalunya,200003
3,1,195783,Sarrià,100003
3,1,195784,Pl. Catalunya,200003
3,1,195785,Sarrià,100003
3,1,195786,Pl. Catalunya,200003
3,1,195787,Sarrià,100003
3,1,195788,Pl. Catalunya,200003
3,1,195789,Sarrià,100003
3,1,195790,Pl. Catalunya,200003
3,1,195791,Sarrià,100003
3,1,195792,Pl. Catalunya,200003
3,1,195793,Sarrià,100003
3,1,195794,Pl. Catalunya,200003
3,1,195795,Sarrià,100003
3,1,195796,Pl. Catalunya,200003
3,1,195797,Sarrià,100003
3,1,195798,Pl. Catalunya,200003
3,1,195799,Sarrià,100003
3,1,195800,Pl. Catalunya,200003
3,1,195801,Sarrià,100003
3,1,195802,Pl. Catalunya,200003
3,1,195803,Sarrià,100003
3,1,195804,Pl. Catalunya,200003
3,1,195805,Sarrià,100003
3,1,195806,Pl. Catalunya,200003
3,1,195807,Sarrià,100003
3,1,195808,Pl. Catalunya,200003
3,1,195809,Sarrià,100003
3,1,195810,Pl. Catalunya,200003
3,1,195811,Sarrià,100003
3,1,195812,Pl. Catalunya,200003
3,1,195813,Sarrià,100003
3,1,195814,Pl. Catalunya,200003
3,1,195815,Sarrià,100003
3,1,195816,Pl. Catalunya,200003
3,1,195817,Sarrià,100003
3,1,195818,Pl. Catalunya,200003
3,1,195819,Sarrià,100003
3,1,195820,Pl. Catalunya,200003
3,1,195821,Sarrià,100003
3,1,195822,Pl. Catalunya,200003
3,1,195823,Sarrià,100003
3,1,195824,Pl. Catalunya,200003
3,1,195825,Sarrià,100003
3,1,195826,Pl. Catalunya,200003
3,1,195827,Sarrià,100003
3,1,195828,Pl. Catalunya,200003
3,1,195829,Sarrià,100003
3,1,195830,Pl. Catalunya,200003
3,1,195831,Sarrià,100003
3,1,195832,Pl. Catalunya,200003
3,1,195833,Sarrià,100003
3,1,195834,Pl. Catalunya,200003
3,1,195835,Sarrià,100003
3,1,195836,Pl. Catalunya,200003
3,1,195837,Sarrià,100003
3,1,195838,Pl. Catalunya,200003
3,1,195839,Sarrià,100003
3,1,195840,Pl. Catalunya,200003
3,1,195841,Sarrià,100003
3,1,195842,Pl. Catalunya,200003
3,1,195843,Sarrià,100003
3,1,195844,Pl. Catalunya,200003
3,1,195845,Sarrià,100003
3,1,195846,Pl. Catalunya,200003
3,1,195847,Sarrià,100003
3,1,195848,Pl. Catalunya,200003
3,1,195849,Sarrià,100003
3,1,195850,Pl. Catalunya,200003
3,1,195851,Sarrià,100003
3,1,195852,Pl. Catalunya,200003
3,1,195853,Sarrià,100003
3,1,195854,Pl. Catalunya,200003
3,1,195855,Sarrià,100003
3,1,195856,Pl. Catalunya,200003
3,1,195857,Sarrià,100003
3,1,195858,Pl. Catalunya,200003
3,1,195859,Sarrià,100003
3,1,195860,Pl. Catalunya,200003
3,1,195861,Sarrià,100003
3,1,195862,Pl. Catalunya,200003
3,1,195863,Sarrià,100003
3,1,195864,Pl. Catalunya,200003
3,1,195865,Sarrià,100003
3,1,195866,Pl. Catalunya,200003
3,1,195867,Sarrià,100003
3,1,195868,Pl. Catalunya,200003
3,1,195869,Sarrià,100003
3,1,195870,Pl. Catalunya,200003
3,1,195871,Sarrià,100003
3,1,195872,Pl. Catalunya,200003
3,1,195873,Sarrià,100003
3,1,195874,Pl. Catalunya,200003
3,1,195875,Sarrià,100003
3,1,195876,Pl. Catalunya,200003
3,1,195877,Sarrià,100003
3,1,195878,Pl. Catalunya,200003
3,1,195879,Sarrià,100003
3,1,195880,Pl. Catalunya,200003
3,1,195881,Sarrià,100003
3,1,195882,Pl. Catalunya,200003
3,1,195883,Sarrià,100003
3,1,195884,Pl. Catalunya,200003
3,1,195885,Sarrià,100003
3,1,195886,Pl. Catalunya,200003
3,1,195887,Sarrià,100003
3,1,195888,Pl. Catalunya,200003
3,1,195889,Sarrià,100003
3,1,195890,Pl. Catalunya,200003
3,1,195891,Sarrià,100003
3,1,195892,Pl. Catalunya,200003
3,1,195893,Sarrià,100003
3,1,195894,Pl. Catalunya,200003
3,1,195895,Sarrià,100003
3,1,195896,Pl. Catalunya,200003
3,1,195897,Sarrià,100003
3,1,195898,Pl. Catalunya,200003
3,1,195899,Sarrià,100003
3,1,195900,Sarrià,100003
3,1,195901,Pl. Catalunya,200003
3,1,195902,Sarrià,100003
3,1,195903,Pl. Catalunya,200003
3,1,195904,Sarrià,100003
3,1,195905,Pl. Catalunya,200003
3,1,195906,Sarrià,100003
3,1,195907,Pl. Catalunya,200003
3,1,195908,Sarrià,100003
3,1,195909,Pl. Catalunya,200003
3,1,195910,Sarrià,100003
3,1,195911,Pl. Catalunya,200003
3,1,195912,Sarrià,100003
3,1,195913,Pl. Catalunya,200003
3,1,195914,Sarrià,100003
3,1,195915,Pl. Catalunya,200003
3,1,195916,Sarrià,100003
3,1,195917,Pl. Catalunya,200003
3,1,195918,Sarrià,100003
3,1,195919,Pl. Catalunya,200003
3,1,195920,Pl. Catalunya,200003
4,1,195921,Av. Tibidabo,100004
4,1,195922,Pl. Catalunya,200004
4,1,195923,Av. Tibidabo,100004
4,1,195924,Pl. Catalunya,200004
4,1,195925,Av. Tibidabo,100004
4,1,195926,Pl. Catalunya,200004
4,1,195927,Av. Tibidabo,100004
4,1,195928,Pl. Catalunya,200004
4,1,195929,Av. Tibidabo,100004
4,1,195930,Pl. Catalunya,200004
4,1,195931,Av. Tibidabo,100004
4,1,195932,Pl. Catalunya,200004
4,1,195933,Av. Tibidabo,100004
4,1,195934,Pl. Catalunya,200004
4,1,195935,Av. Tibidabo,100004
4,1,195936,Pl. Catalunya,200004
4,1,195937,Av. Tibidabo,100004
4,1,195938,Pl. Catalunya,200004
4,1,195939,Av. Tibidabo,100004
4,1,195940,Pl. Catalunya,200004
4,1,195941,Av. Tibidabo,100004
4,1,195942,Pl. Catalunya,200004
4,1,195943,Av. Tibidabo,100004
4,1,195944,Pl. Catalunya,200004
4,1,195945,Av. Tibidabo,100004
4,1,195946,Pl. Catalunya,200004
4,1,195947,Av. Tibidabo,100004
4,1,195948,Pl. Catalunya,200004
4,1,195949,Av. Tibidabo,100004
4,1,195950,Pl. Catalunya,200004
