service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1.100.51,1,1,1,1,1,0,0,20181002,20190530
1.100.52,0,0,0,0,0,1,0,20181002,20190530
1.100.53,0,0,0,0,0,0,1,20181002,20190530
1.10400.51,1,1,1,1,1,0,0,20181002,20190530
1.10400.52,0,0,0,0,0,1,0,20181002,20190530
1.10400.53,0,0,0,0,0,0,1,20181002,20190530
1.10401.108,1,1,1,1,1,0,0,20181002,20190530
1.10401.109,0,0,0,0,0,1,0,20181002,20190530
1.10401.110,0,0,0,0,0,0,1,20181002,20190530
1.1100.51,1,1,1,1,1,0,0,20181002,20190530
1.1100.52,0,0,0,0,0,1,0,20181002,20190530
1.1100.53,0,0,0,0,0,0,1,20181002,20190530
1.200.51,1,1,1,1,1,0,0,20181002,20190530
1.200.52,0,0,0,0,0,1,0,20181002,20190530
1.200.53,0,0,0,0,0,0,1,20181002,20190530
1.300.51,1,1,1,1,1,0,0,20181002,20190530
1.300.52,0,0,0,0,0,1,0,20181002,20190530
1.300.53,0,0,0,0,0,0,1,20181002,20190530
1.400.51,1,1,1,1,1,0,0,20181002,20190530
1.400.52,0,0,0,0,0,1,0,20181002,20190530
1.400.53,0,0,0,0,0,0,1,20181002,20190530
1.500.51,1,1,1,1,1,0,0,20181002,20190530
1.500.52,0,0,0,0,0,1,0,20181002,20190530
1.500.53,0,0,0,0,0,0,1,20181002,20190530
1.9100.108,1,1,1,1,1,0,0,20181002,20190530
1.9100.109,0,0,0,0,0,1,0,20181002,20190530
1.9100.110,0,0,0,0,0,0,1,20181002,20190530
1.9400.51,1,1,1,1,1,0,0,20181002,20190530
1.9400.52,0,0,0,0,0,1,0,20181002,20190530
1.9400.53,0,0,0,0,0,0,1,20181002,20190530
1.9900.64,1,1,1,1,1,0,0,20181002,20190530
1.9900.65,0,0,0,0,0,1,1,20181002,20190530
