service_id,date,exception_type
2.705.3596,20181006,1
2.705.3596,20181013,1
2.705.3596,20181020,1
2.705.3596,20181027,1
2.705.3596,20181103,1
2.705.3596,20181110,1
2.705.3596,20181117,1
2.705.3596,20181124,1
2.705.3596,20181201,1
2.705.3596,20181215,1
2.705.3596,20181222,1
2.705.3596,20181229,1
2.705.3597,20181007,1
2.705.3597,20181012,1
2.705.3597,20181014,1
2.705.3597,20181021,1
2.705.3597,20181028,1
2.705.3597,20181101,1
2.705.3597,20181104,1
2.705.3597,20181111,1
2.705.3597,20181118,1
2.705.3597,20181125,1
2.705.3597,20181202,1
2.705.3597,20181206,1
2.705.3597,20181208,1
2.705.3597,20181209,1
2.705.3597,20181216,1
2.705.3597,20181223,1
2.705.3597,20181225,1
2.705.3597,20181226,1
2.705.3597,20181230,1
2.705.4922,20181002,1
2.705.4922,20181003,1
2.705.4922,20181004,1
2.705.4922,20181005,1
2.705.4922,20181008,1
2.705.4922,20181009,1
2.705.4922,20181010,1
2.705.4922,20181011,1
2.705.4922,20181015,1
2.705.4922,20181016,1
2.705.4922,20181017,1
2.705.4922,20181018,1
2.705.4922,20181019,1
2.705.4922,20181022,1
2.705.4922,20181023,1
2.705.4922,20181024,1
2.705.4922,20181025,1
2.705.4922,20181026,1
2.705.4922,20181029,1
2.705.4922,20181030,1
2.705.4922,20181031,1
2.705.4922,20181102,1
2.705.4922,20181105,1
2.705.4922,20181106,1
2.705.4922,20181107,1
2.705.4922,20181108,1
2.705.4922,20181109,1
2.705.4922,20181112,1
2.705.4922,20181113,1
2.705.4922,20181114,1
2.705.4922,20181115,1
2.705.4922,20181116,1
2.705.4922,20181119,1
2.705.4922,20181120,1
2.705.4922,20181121,1
2.705.4922,20181122,1
2.705.4922,20181123,1
2.705.4922,20181126,1
2.705.4922,20181127,1
2.705.4922,20181128,1
2.705.4922,20181129,1
2.705.4922,20181130,1
2.705.4922,20181203,1
2.705.4922,20181204,1
2.705.4922,20181205,1
2.705.4922,20181207,1
2.705.4922,20181210,1
2.705.4922,20181211,1
2.705.4922,20181212,1
2.705.4922,20181213,1
2.705.4922,20181214,1
2.705.4922,20181217,1
2.705.4922,20181218,1
2.705.4922,20181219,1
2.705.4922,20181220,1
2.705.4922,20181221,1
2.705.4922,20181224,1
2.705.4922,20181227,1
2.705.4922,20181228,1
2.705.4922,20181231,1
2.206.3574,20181007,1
2.206.3574,20181012,1
2.206.3574,20181014,1
2.206.3574,20181021,1
2.206.3574,20181028,1
2.206.3574,20181101,1
2.206.3574,20181104,1
2.206.3574,20181111,1
2.206.3574,20181118,1
2.206.3574,20181125,1
2.206.3574,20181202,1
2.206.3574,20181206,1
2.206.3574,20181208,1
2.206.3574,20181209,1
2.206.3574,20181216,1
2.206.3574,20181223,1
2.206.3574,20181225,1
2.206.3574,20181226,1
2.206.3574,20181230,1
2.206.3598,20181002,1
2.206.3598,20181003,1
2.206.3598,20181004,1
2.206.3598,20181005,1
2.206.3598,20181008,1
2.206.3598,20181009,1
2.206.3598,20181010,1
2.206.3598,20181011,1
2.206.3598,20181015,1
2.206.3598,20181016,1
2.206.3598,20181017,1
2.206.3598,20181018,1
2.206.3598,20181019,1
2.206.3598,20181022,1
2.206.3598,20181023,1
2.206.3598,20181024,1
2.206.3598,20181025,1
2.206.3598,20181026,1
2.206.3598,20181029,1
2.206.3598,20181030,1
2.206.3598,20181031,1
2.206.3598,20181102,1
2.206.3598,20181105,1
2.206.3598,20181106,1
2.206.3598,20181107,1
2.206.3598,20181108,1
2.206.3598,20181109,1
2.206.3598,20181112,1
2.206.3598,20181113,1
2.206.3598,20181114,1
2.206.3598,20181115,1
2.206.3598,20181116,1
2.206.3598,20181119,1
2.206.3598,20181120,1
2.206.3598,20181121,1
2.206.3598,20181122,1
2.206.3598,20181123,1
2.206.3598,20181126,1
2.206.3598,20181127,1
2.206.3598,20181128,1
2.206.3598,20181129,1
2.206.3598,20181130,1
2.206.3598,20181203,1
2.206.3598,20181204,1
2.206.3598,20181205,1
2.206.3598,20181207,1
2.206.3598,20181210,1
2.206.3598,20181211,1
2.206.3598,20181212,1
2.206.3598,20181213,1
2.206.3598,20181214,1
2.206.3598,20181217,1
2.206.3598,20181218,1
2.206.3598,20181219,1
2.206.3598,20181220,1
2.206.3598,20181221,1
2.206.3598,20181224,1
2.206.3598,20181227,1
2.206.3598,20181228,1
2.206.3598,20181231,1
2.206.3599,20181006,1
2.206.3599,20181013,1
2.206.3599,20181020,1
2.206.3599,20181027,1
2.206.3599,20181103,1
2.206.3599,20181110,1
2.206.3599,20181117,1
2.206.3599,20181124,1
2.206.3599,20181201,1
2.206.3599,20181215,1
2.206.3599,20181222,1
2.206.3599,20181229,1
2.605.2708,20181007,1
2.605.2708,20181012,1
2.605.2708,20181014,1
2.605.2708,20181021,1
2.605.2708,20181028,1
2.605.2708,20181101,1
2.605.2708,20181104,1
2.605.2708,20181111,1
2.605.2708,20181118,1
2.605.2708,20181125,1
2.605.2708,20181202,1
2.605.2708,20181206,1
2.605.2708,20181208,1
2.605.2708,20181209,1
2.605.2708,20181216,1
2.605.2708,20181223,1
2.605.2708,20181225,1
2.605.2708,20181226,1
2.605.2708,20181230,1
2.605.4872,20181006,1
2.605.4872,20181013,1
2.605.4872,20181020,1
2.605.4872,20181027,1
2.605.4872,20181103,1
2.605.4872,20181110,1
2.605.4872,20181117,1
2.605.4872,20181124,1
2.605.4872,20181201,1
2.605.4872,20181215,1
2.605.4872,20181222,1
2.605.4872,20181229,1
2.605.4909,20181002,1
2.605.4909,20181003,1
2.605.4909,20181004,1
2.605.4909,20181005,1
2.605.4909,20181008,1
2.605.4909,20181009,1
2.605.4909,20181010,1
2.605.4909,20181011,1
2.605.4909,20181015,1
2.605.4909,20181016,1
2.605.4909,20181017,1
2.605.4909,20181018,1
2.605.4909,20181019,1
2.605.4909,20181022,1
2.605.4909,20181023,1
2.605.4909,20181024,1
2.605.4909,20181025,1
2.605.4909,20181026,1
2.605.4909,20181029,1
2.605.4909,20181030,1
2.605.4909,20181031,1
2.605.4909,20181102,1
2.605.4909,20181105,1
2.605.4909,20181106,1
2.605.4909,20181107,1
2.605.4909,20181108,1
2.605.4909,20181109,1
2.605.4909,20181112,1
2.605.4909,20181113,1
2.605.4909,20181114,1
2.605.4909,20181115,1
2.605.4909,20181116,1
2.605.4909,20181119,1
2.605.4909,20181120,1
2.605.4909,20181121,1
2.605.4909,20181122,1
2.605.4909,20181123,1
2.605.4909,20181126,1
2.605.4909,20181127,1
2.605.4909,20181128,1
2.605.4909,20181129,1
2.605.4909,20181130,1
2.605.4909,20181203,1
2.605.4909,20181204,1
2.605.4909,20181205,1
2.605.4909,20181207,1
2.605.4909,20181210,1
2.605.4909,20181211,1
2.605.4909,20181212,1
2.605.4909,20181213,1
2.605.4909,20181214,1
2.605.4909,20181217,1
2.605.4909,20181218,1
2.605.4909,20181219,1
2.605.4909,20181220,1
2.605.4909,20181221,1
2.605.4909,20181224,1
2.605.4909,20181227,1
2.605.4909,20181228,1
2.605.4909,20181231,1
2.246.3769,20181002,1
2.246.3769,20181003,1
2.246.3769,20181004,1
2.246.3769,20181005,1
2.246.3769,20181008,1
2.246.3769,20181009,1
2.246.3769,20181010,1
2.246.3769,20181011,1
2.246.3769,20181015,1
2.246.3769,20181016,1
2.246.3769,20181017,1
2.246.3769,20181018,1
2.246.3769,20181019,1
2.246.3769,20181022,1
2.246.3769,20181023,1
2.246.3769,20181024,1
2.246.3769,20181025,1
2.246.3769,20181026,1
2.246.3769,20181029,1
2.246.3769,20181030,1
2.246.3769,20181031,1
2.246.3769,20181102,1
2.246.3769,20181105,1
2.246.3769,20181106,1
2.246.3769,20181107,1
2.246.3769,20181108,1
2.246.3769,20181109,1
2.246.3769,20181112,1
2.246.3769,20181113,1
2.246.3769,20181114,1
2.246.3769,20181115,1
2.246.3769,20181116,1
2.246.3769,20181119,1
2.246.3769,20181120,1
2.246.3769,20181121,1
2.246.3769,20181122,1
2.246.3769,20181123,1
2.246.3769,20181126,1
2.246.3769,20181127,1
2.246.3769,20181128,1
2.246.3769,20181129,1
2.246.3769,20181130,1
2.246.3769,20181203,1
2.246.3769,20181204,1
2.246.3769,20181205,1
2.246.3769,20181207,1
2.246.3769,20181210,1
2.246.3769,20181211,1
2.246.3769,20181212,1
2.246.3769,20181213,1
2.246.3769,20181214,1
2.246.3769,20181217,1
2.246.3769,20181218,1
2.246.3769,20181219,1
2.246.3769,20181220,1
2.246.3769,20181221,1
2.246.3769,20181224,1
2.246.3769,20181227,1
2.246.3769,20181228,1
2.246.3769,20181231,1
2.246.3770,20181006,1
2.246.3770,20181013,1
2.246.3770,20181020,1
2.246.3770,20181027,1
2.246.3770,20181103,1
2.246.3770,20181110,1
2.246.3770,20181117,1
2.246.3770,20181124,1
2.246.3770,20181201,1
2.246.3770,20181215,1
2.246.3770,20181222,1
2.246.3770,20181229,1
2.246.3771,20181007,1
2.246.3771,20181012,1
2.246.3771,20181014,1
2.246.3771,20181021,1
2.246.3771,20181028,1
2.246.3771,20181101,1
2.246.3771,20181104,1
2.246.3771,20181111,1
2.246.3771,20181118,1
2.246.3771,20181125,1
2.246.3771,20181202,1
2.246.3771,20181206,1
2.246.3771,20181208,1
2.246.3771,20181209,1
2.246.3771,20181216,1
2.246.3771,20181223,1
2.246.3771,20181225,1
2.246.3771,20181226,1
2.246.3771,20181230,1
2.586.4542,20181006,1
2.586.4542,20181013,1
2.586.4542,20181020,1
2.586.4542,20181027,1
2.586.4542,20181103,1
2.586.4542,20181110,1
2.586.4542,20181117,1
2.586.4542,20181124,1
2.586.4542,20181201,1
2.586.4542,20181215,1
2.586.4542,20181222,1
2.586.4542,20181229,1
2.586.4543,20181007,1
2.586.4543,20181012,1
2.586.4543,20181014,1
2.586.4543,20181021,1
2.586.4543,20181028,1
2.586.4543,20181101,1
2.586.4543,20181104,1
2.586.4543,20181111,1
2.586.4543,20181118,1
2.586.4543,20181125,1
2.586.4543,20181202,1
2.586.4543,20181206,1
2.586.4543,20181208,1
2.586.4543,20181209,1
2.586.4543,20181216,1
2.586.4543,20181223,1
2.586.4543,20181225,1
2.586.4543,20181226,1
2.586.4543,20181230,1
2.586.4935,20181002,1
2.586.4935,20181003,1
2.586.4935,20181004,1
2.586.4935,20181005,1
2.586.4935,20181008,1
2.586.4935,20181009,1
2.586.4935,20181010,1
2.586.4935,20181011,1
2.586.4935,20181015,1
