trip_id,start_time,end_time,headway_secs
1.41.2,05:00:00,08:00:00,240
1.41.1,05:00:00,08:00:00,240
1.41.2,08:00:00,09:30:00,180
1.41.1,08:00:00,09:30:00,180
1.41.2,09:30:00,12:30:00,240
1.41.1,09:30:00,12:30:00,240
1.41.2,12:30:00,21:00:00,240
1.41.1,12:30:00,21:00:00,240
1.41.1,21:00:00,23:59:59,480
1.41.2,21:00:00,23:59:59,480
1.45.1,00:00:00,02:00:00,480
1.45.2,00:00:00,02:00:00,480
1.45.2,05:00:00,08:00:00,240
1.45.1,05:00:00,08:00:00,240
1.45.1,08:00:00,09:30:00,180
1.45.2,08:00:00,09:30:00,180
1.45.1,09:30:00,12:30:00,240
1.45.2,09:30:00,12:30:00,240
1.45.2,12:30:00,21:00:00,240
1.45.1,12:30:00,21:00:00,240
1.45.1,21:00:00,23:59:59,480
1.45.2,21:00:00,23:59:59,480
1.47.1,00:00:00,02:00:00,480
1.47.2,00:00:00,02:00:00,480
1.47.1,02:00:00,05:00:00,480
1.47.2,02:00:00,05:00:00,480
1.47.2,05:00:00,08:00:00,240
1.47.1,05:00:00,08:00:00,240
1.47.2,08:00:00,09:30:00,180
1.47.1,08:00:00,09:30:00,180
1.47.2,09:30:00,12:30:00,240
1.47.1,09:30:00,12:30:00,240
1.47.1,12:30:00,21:00:00,240
1.47.2,12:30:00,21:00:00,240
1.47.1,21:00:00,23:59:59,480
1.47.2,21:00:00,23:59:59,480
1.48.2,05:00:00,08:00:00,240
1.48.1,05:00:00,08:00:00,240
1.48.2,08:00:00,09:30:00,180
1.48.1,08:00:00,09:30:00,180
1.48.2,09:30:00,12:30:00,240
1.48.1,09:30:00,12:30:00,240
1.48.2,12:30:00,21:00:00,240
1.48.1,12:30:00,21:00:00,240
1.48.1,21:00:00,23:59:59,420
1.48.2,21:00:00,23:59:59,420
1.50.1,00:00:00,02:00:00,420
1.50.2,00:00:00,02:00:00,420
1.50.1,05:00:00,08:00:00,240
1.50.2,05:00:00,08:00:00,240
1.50.1,08:00:00,09:30:00,180
1.50.2,08:00:00,09:30:00,180
1.50.2,09:30:00,12:30:00,240
1.50.1,09:30:00,12:30:00,240
1.50.1,12:30:00,21:00:00,240
1.50.2,12:30:00,21:00:00,240
1.50.2,21:00:00,23:59:59,420
1.50.1,21:00:00,23:59:59,420
1.49.2,00:00:00,02:00:00,420
1.49.1,00:00:00,02:00:00,420
1.49.2,02:00:00,05:00:00,480
1.49.1,02:00:00,05:00:00,480
1.49.1,05:00:00,08:00:00,240
1.49.2,05:00:00,08:00:00,240
1.49.2,08:00:00,09:30:00,180
1.49.1,08:00:00,09:30:00,180
1.49.2,09:30:00,12:30:00,240
1.49.1,09:30:00,12:30:00,240
1.49.1,12:30:00,21:00:00,240
1.49.2,12:30:00,21:00:00,240
1.49.1,21:00:00,23:59:59,420
1.49.2,21:00:00,23:59:59,420
1.51.2,05:00:00,08:00:00,240
1.51.1,05:00:00,08:00:00,240
1.51.2,08:00:00,09:30:00,180
1.51.1,08:00:00,09:30:00,180
1.51.2,09:30:00,12:30:00,240
1.51.1,09:30:00,12:30:00,240
1.51.2,12:30:00,21:00:00,180
1.51.1,12:30:00,21:00:00,180
1.51.1,21:00:00,23:59:59,420
1.51.2,21:00:00,23:59:59,420
1.52.1,00:00:00,02:00:00,420
1.52.2,00:00:00,02:00:00,420
1.52.2,05:00:00,08:00:00,240
1.52.1,05:00:00,08:00:00,240
1.52.1,08:00:00,09:30:00,180
1.52.2,08:00:00,09:30:00,180
1.52.1,09:30:00,12:30:00,240
1.52.2,09:30:00,12:30:00,240
1.52.2,12:30:00,21:00:00,180
1.52.1,12:30:00,21:00:00,180
1.52.1,21:00:00,23:59:59,420
1.52.2,21:00:00,23:59:59,420
1.53.1,00:00:00,02:00:00,420
1.53.2,00:00:00,02:00:00,420
1.53.1,02:00:00,05:00:00,480
1.53.2,02:00:00,05:00:00,480
1.53.2,05:00:00,08:00:00,240
1.53.1,05:00:00,08:00:00,240
1.53.2,08:00:00,09:30:00,180
1.53.1,08:00:00,09:30:00,180
1.53.2,09:30:00,12:30:00,240
1.53.1,09:30:00,12:30:00,240
1.53.1,12:30:00,21:00:00,180
1.53.2,12:30:00,21:00:00,180
1.53.1,21:00:00,23:59:59,420
1.53.2,21:00:00,23:59:59,420
1.54.2,05:00:00,08:00:00,300
1.54.1,05:00:00,08:00:00,300
1.54.2,08:00:00,09:30:00,240
1.54.1,08:00:00,09:30:00,240
