route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1.1,L1,Hospital de Bellvitge - Fondo,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L1,CE1126,FFFFFF
1.2,L2,Paral·lel - Badalona Pompeu Fabra,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L2,93248F,FFFFFF
1.3,L3,Zona Universitària - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L3,1EB53A,FFFFFF
1.4,L4,La Pau - Trinitat Nova,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L4,F7A30E,000000
1.5,L5,Cornellà Centre - Vall d'Hebron,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L5,005A97,FFFFFF
1.94,L9N,La Sagrera - Can Zam,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9N,FB712B,FFFFFF
1.91,L9S,Aeroport T1 - Zona Universitària,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L9S,FB712B,FFFFFF
1.104,L10N,La Sagrera - Gorg,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10N,00A6D6,FFFFFF
1.101,L10S,Foc - Collblanc,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L10S,00A6D6,FFFFFF
1.11,L11,Trinitat Nova - Can Cuiàs,1,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/L11,89B94C,FFFFFF
1.99,FM,Paral·lel - Parc de Montjuïc,7,https://www.tmb.cat/ca/barcelona/metro/-/lineametro/FM,004C38,FFFFFF
2.220,D20,Pg. Marítim / Ernest Lluch,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D20,93117e,FFFFFF
2.240,D40,Pl. Espanya / Via Favència,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D40,93117e,FFFFFF
2.250,D50,Paral·lel / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/D50,93117e,FFFFFF
2.204,H4,Zona Universitària / Bon Pastor,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H4,009ee0,FFFFFF
2.206,H6,Zona Universitària / Fabra i Puig,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H6,009ee0,FFFFFF
2.208,H8,Camp Nou / La Maquinista,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H8,009ee0,FFFFFF
2.210,H10,Badal / Olímpic de Badalona,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H10,009ee0,FFFFFF
2.212,H12,Gornal / Besòs Verneda,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H12,009ee0,FFFFFF
2.214,H14,Paral·lel / Sant Adrià,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H14,009ee0,FFFFFF
2.216,H16,Pg. Zona Franca / Fòrum Campus Besòs,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/H16,009ee0,FFFFFF
2.203,V3,Zona Franca / Can Caralleu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V3,6ab023,FFFFFF
2.205,V5,Mare de Déu de Port / Pedralbes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V5,6ab023,FFFFFF
2.207,V7,Pl. Espanya / Sarrià,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V7,6ab023,FFFFFF
